sta,latitude,longitude,elevation
CTAO,-20.0882,146.2545,357.0
CTAO,-20.0882,146.2545,357.0
CTAO,-20.0882,146.2545,357.0
DAV,7.0697,125.5791,150.0
DAV,7.0697,125.5791,150.0
DAV,7.0697,125.5791,151.0
DWPF,28.1103,-81.4327,30.0
DWPF,28.1103,-81.4327,30.0
DWPF,28.1103,-81.4327,30.0
FUNA,-8.5259,179.1966,20.0
FUNA,-8.5259,179.1966,20.0
FURI,8.8952,38.6798,2570.0
FURI,8.8952,38.6798,2570.0
FURI,8.8952,38.6798,2570.0
GNI,40.148,44.741,1609.0
GNI,40.148,44.741,1609.0
GNI,40.148,44.741,1609.0
GUMO,13.5893,144.8684,170.0
GUMO,13.5893,144.8684,170.0
GUMO,13.5893,144.8684,170.0
HNR,-9.4387,159.9475,100.0
HNR,-9.4387,159.9475,100.0
HNR,-9.4387,159.9475,100.0
INCN,37.4776,126.6239,80.0
INCN,37.4776,126.6239,80.0
INCN,37.4776,126.6239,80.0
INCN,37.47768,126.62436,55.0
JOHN,16.7329,-169.5292,2.0
JOHN,16.7329,-169.5292,2.0
KBL,34.5408,69.0432,1920.0
KIEV,50.7012,29.2242,180.0
KIEV,50.7012,29.2242,180.0
KIP,21.42,-158.0112,110.0
KIP,21.42,-158.0112,110.0
KIP,21.42,-158.0112,110.0
LCO,-29.011,-70.7004,2300.0
LCO,-29.011,-70.7004,2300.0
LCO,-29.011,-70.7005,2274.0
LSZ,-15.2779,28.1882,1200.0
LSZ,-15.2779,28.1882,1200.0
LVC,-22.6127,-68.9111,2960.0
LVC,-22.6127,-68.9111,2960.0
MA2,59.5756,150.77,339.0
MA2,59.5756,150.77,337.0
MAJO,36.54567,138.20406,405.0
MAJO,36.54567,138.20406,405.0
MAJO,36.54567,138.20406,405.0
MBWA,-21.159,119.7313,190.0
MBWA,-21.159,119.7313,190.0
MBWA,-21.159,119.7313,190.0
MIDW,28.2156,-177.3698,20.0
MIDW,28.2156,-177.3698,20.0
MIDW,28.2156,-177.3698,20.0
PAYG,-0.6742,-90.2861,270.0
PAYG,-0.6742,-90.2861,270.0
PAYG,-0.6742,-90.2861,270.0
PET,53.0233,158.6499,110.0
PET,53.0233,158.6499,110.0
PET,53.0233,158.6499,110.0
PMSA,-64.7744,-64.0489,40.0
PMSA,-64.7744,-64.0489,40.0
PMSA,-64.7744,-64.0489,40.0
POHA,19.7573,-155.5326,1990.0
POHA,19.7573,-155.5326,1990.0
POHA,19.7573,-155.5326,1990.0
PTCN,-25.0713,-130.0953,220.0
PTCN,-25.0713,-130.0953,220.0
PTGA,-0.7308,-59.9666,237.0
PTGA,-0.7308,-59.9666,237.0
QSPA,-89.9289,144.4382,2850.0
QSPA,-89.9289,144.4382,2850.0
QSPA,-89.9289,144.4382,2850.0
RAO,-29.245,-177.929,60.0
RAO,-29.245,-177.929,60.0
RAO,-29.245,-177.929,60.0
RAR,-21.2125,-159.7733,28.0
RAR,-21.2125,-159.7733,28.0
RAR,-21.2125,-159.7733,28.0
RCBR,-5.8274,-35.9014,400.0
RCBR,-5.8274,-35.9014,400.0
SAML,-8.9489,-63.1831,120.0
SAML,-8.9489,-63.1831,120.0
SAML,-8.9489,-63.1831,120.0
SBA,-77.8492,166.7572,50.0
SBA,-77.8492,166.7572,50.0
SBA,-77.8492,166.7572,50.0
SDV,8.8839,-70.634,1620.0
SDV,8.8839,-70.634,1620.0
SDV,8.8839,-70.634,1620.0
SJG,18.1091,-66.15,420.0
SJG,18.1091,-66.15,420.0
SJG,18.1091,-66.15,420.0
SLBS,23.6858,-109.9443,825.0
SNZO,-41.3087,174.7043,120.0
SNZO,-41.3087,174.7043,120.0
SNZO,-41.3087,174.7043,120.0
SSPA,40.6358,-77.8876,270.0
SSPA,40.6358,-77.8876,270.0
SSPA,40.6358,-77.8876,270.0
TARA,1.3549,172.9229,20.0
TARA,1.3549,172.9229,20.0
TATO,24.9735,121.4971,160.0
TATO,24.9735,121.4971,160.0
TEIG,20.2263,-88.2763,40.0
TEIG,20.2263,-88.2763,40.0
TEIG,20.2263,-88.2763,40.0
TRQA,-38.0568,-61.9787,540.0
TRQA,-38.0568,-61.9787,540.0
ULN,47.8651,107.0532,1610.0
ULN,47.8651,107.0532,1610.0
ULN,47.8651,107.0532,1610.0
WAKE,19.2834,166.652,20.0
WAKE,19.2834,166.652,20.0
WAKE,19.2834,166.652,20.0
XMAS,2.0448,-157.4457,20.0
XMAS,2.0448,-157.4457,20.0
XMAS,2.0448,-157.4457,20.0
YSS,46.9587,142.7604,150.0
YSS,46.9587,142.7604,150.0
YSS,46.9587,142.7604,150.0
ABKAR,49.2558,59.9431,362.0
MKAR,46.7937,82.2903,615.4
WDD,35.8373,14.5242,44.1
BTDF,1.3608,103.7729,64.0
KKM,6.0443,116.2147,830.0
KSM,1.4733,110.3083,66.0
KUM,5.2902,100.6492,74.0
CTZ,-43.73549,-176.61719,99.0
ODZ,-45.043982,170.644622,274.0
OUZ,-35.219689,173.596133,63.0
OJC,50.219501,19.798401,391.0
PATS,6.8367,158.3152,10.0
PSI,2.6938,98.9237,987.0
AUALB,-34.9995,117.9046,50.0
AUAYR,-19.5774,147.4088,13.0
AUBRN,-41.040518,145.868374,10.0
AUBSH,-26.864,152.9547,26.0
AUBUS,-33.6601,115.3828,13.0
AUCAR,-24.8851,113.6586,17.0
AUCAS,-34.2637,135.7219,72.0
AUCSH,-16.9159,145.7682,17.0
AUDAR,-35.253,149.1377,575.0
AUDCS,-32.2334,148.6278,276.0
AUDHS,-12.44,130.833,60.0
AUHAR,-33.0927,115.8912,39.0
AUHPC,-38.1068,142.3183,11.3
AUJCS,-33.2047,138.6098,464.0
AUKAL,-30.7637,121.4789,373.0
AUKAR,-20.752,116.8178,45.0
AUKAT,-14.4624,132.2829,122.0
AUKHS,-33.4642,151.3827,27.0
AUKSC,-37.9684,145.1584,50.0
AUKUL,-32.6697,118.1522,312.0
AULHS,-41.2519,147.215,173.0
AULRC,-29.4262,147.979,145.0
AUMAG,-36.1016,144.7482,127.0
AUMAR,-34.8916,138.6357,153.0
AUMAZ,-32.0069,116.0384,263.0
AUMBR,-35.13405,139.28593,38.0
AUMHS,-35.3635,149.0888,615.0
AUMOU,-24.5752,149.9814,153.0
AUMTC,-37.6089,143.8771,48.7
AUMTS,-35.3188,148.9964,667.0
AUMUL,-28.5585,153.0372,60.0
AUNHS,-12.1874,136.7832,20.0
AUNRC,-23.3529,150.5329,38.0
AUPHS,-31.099,150.8943,404.0
AURMK,-34.1728,140.7404,26.0
AUROX,-30.5601,136.8971,106.0
AURSC,-38.368,144.8866,23.0
AUSIS,-35.2839,149.1147,585.0
AUSMG,-36.4161,148.6084,951.0
AUSSC,-38.0977,147.0825,19.0
AUTAR,-42.9425,147.3551,25.0
AUTKS,-33.7846,151.0254,95.0
AUTOO,-27.5452,151.9668,687.0
AUUHS,-35.3589,150.4696,44.0
AUWSH,-27.3977,153.0372,60.0
YHNB,24.6695,121.3757,785.0
BOZ,45.59697,-111.62967,1589.0
EGMT,48.024,-109.7547,1055.0
HAWA,46.3925,-119.5327,364.0
KVTX,27.5459,-97.8929,14.6
OGNE,40.9451,-102.033,1054.0
WMOK,34.7379,-98.7807,486.0
OMAK,48.3584,-119.3332,696.0
BRR,7.1072,-73.712,1877.0
CAP2,8.65,-77.36,229.0
CHI,4.6295,-73.7318,3140.0
COD,9.9281,-73.4451,108.0
FLO2,1.5827,-75.6527,365.0
HEL,6.2341,-75.5477,2788.0
MAP,4.0,-81.61,137.0
MON,8.778,-75.665,109.0
OCA,8.24,-73.32,1264.0
PAL,4.9051,-76.32,675.0
POP2,2.54,-76.676,1869.0
PRA,3.6953,-74.9013,414.0
PRV,13.376,-81.364,63.0
PTB,6.54,-74.456,260.0
ROSC,1.58,-75.65,365.0
RUS,5.893,-73.083,3697.0
SJC,9.897,-75.18,596.0
TUM,1.8355,-78.7256,50.0
URE,7.7517,-75.5327,251.0
URI,11.7,-71.99,68.0
YOT,3.9835,-76.345,1040.0
ZAR,7.4923,-74.858,205.0
ANTS,-0.4973,-78.1704,4580.0
ARNL,-3.5478,-80.067,44.0
BOSC,-3.1512,-78.4951,1398.0
CHSH,-1.4938,-78.8693,4476.0
COHC,-2.4661,-79.2574,626.0
CUIC,0.304,-78.361,3165.0
GGPC,-0.1804,-78.5937,4495.0
IMBA,0.2764,-78.1991,3404.0
MCRA,-4.3697,-79.9544,540.0
PORT,-1.4633,-78.7731,4469.0
PULU,0.0218,-78.5022,3114.0
PUYO,-1.493,-78.0249,1070.0
SAGO,-1.1529,-78.665,4153.0
SALI,-2.1863,-80.9912,150.0
SLOR,-0.7298,-78.4967,3600.0
TULM,0.7161,-77.7869,3677.0
VCES,-0.7999,-78.3944,4044.0
ZUMB,-4.8637,-79.1439,1286.0
AVPA,15.3972,-89.6417,16.0
CHIE,14.5599,-89.3414,960.0
GCG3,14.5873,-90.5325,1502.0
GUNB,14.5957,-90.3453,2403.0
HUEH,15.3182,-91.5025,1870.0
IZAB,15.73,-88.5843,10.0
PETF,16.9163,-89.8667,123.0
PETP,16.3268,-89.4169,517.0
RETA,14.5246,-91.6949,205.0
SRIX,14.1717,-90.4413,1494.0
CCIG,16.2819,-92.1369,1625.0
DEPC2,32.6273,-115.4855,1.0
HPIG,26.9368,-105.664,1786.0
HSIG,29.0197,-110.9492,250.0
MBIG,32.4071,-115.1981,2.0
MOIG,19.6467,-101.2273,2000.0
SJQ,20.6987,-100.4516,2028.0
SPIG,31.0459,-115.466,2769.0
SRIG,27.3198,-112.241,61.0
TJIG,32.4338,-116.6746,336.0
TLIG,17.5627,-98.5665,1136.0
ZAIG,22.7692,-102.567,2408.0
ACHA,9.8278,-85.2476,140.0
BATAN,10.0978,-83.3761,54.0
CABA,10.2362,-85.3434,35.0
CABS,10.2362,-85.3434,35.0
CALV,9.7418,-83.9332,2060.0
CAO,9.6992,-85.1005,230.0
CAO2,9.688,-85.107,179.0
CAR,9.864,-85.4805,52.0
CCOL,8.4075,-82.9734,89.0
CDITO,8.5732,-82.8727,118.0
CDM,9.5537,-83.7637,3494.0
COVE,10.7195,-84.4019,115.0
CPMI,10.2821,-84.3815,1718.400024
CRPO,10.1953,-84.2261,2471.0
CTCR,8.8906,-82.764,1518.0
DUNO,10.0791,-85.4937,174.0
EPA,9.9863,-84.595,310.0
GRZA,9.9155,-85.6356,39.0
HATI,10.2986,-85.7,56.0
HAYA,9.9801,-83.8428,3245.0
HDC3,10.0021,-84.1114,1175.0
HRIU,10.5158,-85.7501,309.0
HZTE,10.7137,-85.5954,194.0
INDI,9.8665,-85.5022,74.0
IRZ2,9.9688,-83.8975,2950.0
JACO,9.6624,-84.6595,85.0
JUD3,10.1686,-85.5388,665.0
JUDI,10.1659,-85.5388,702.0
LAFE,9.8072,-84.9103,69.0
LAR,9.7085,-84.0123,2040.0
LEPA,9.9453,-85.0312,17.0
LIBE,10.6168,-85.4186,140.0
LORE,10.0432,-83.7269,2430.0
MANS,10.0948,-85.3812,108.0
MRVA,9.824,-83.4425,1202.0
MURC,10.9009,-85.7301,52.0
NARJ,9.972,-85.5437,576.0
NICO,10.1345,-85.447,148.0
OCHAL,9.0976,-83.6456,137.0
OCM,9.8941,-83.9623,1607.0
ORTG,10.3623,-85.459,760.0
OVD3,10.1362,-85.4242,109.0
OVD4,10.1228,-85.3882,109.0
OVD5,10.1228,-85.3882,109.0
PAL,9.7829,-83.824,1481.0
